date,roi,log_dev_2019,centered_yoy,trailing_yoy,no2_monthly
2026-02-01,cochabamba,-13.483323170880901,-6.359900092796877,-9.019383817981996,2.384211951109081e-05
2026-03-01,cochabamba,-14.65173104061872,-6.569867527768736,-4.122196459571903,3.075605199077136e-05
2026-04-01,cochabamba,,,-2.295248960749774,2.579699261998888e-05
2026-04-01,cochabamba,,,-8.329869841887394,2.088420662413038e-05
2026-06-01,cochabamba,,,-4.910269970265979,3.791454124147201e-05
2026-07-01,cochabamba,,,-6.359900092796877,4.506842047034902e-05
2026-08-01,cochabamba,,,-6.569867527768736,4.2563014475995854e-05
2018-07-01,sucre,,,,1.3976917483720152e-05
2018-08-01,sucre,,,,1.9189686598570173e-05
2018-09-01,sucre,,,,1.8365382341313308e-05
2018-10-01,sucre,,,,1.6911488373717163e-05
2018-11-01,sucre,,,,1.1332776123608331e-05
2018-12-01,sucre,,,,8.473255808759341e-06
2019-01-01,sucre,2.021137925234129,,,1.030649608203982e-05
2019-02-01,sucre,3.6358494686346887,,,9.471835679379422e-06
2019-03-01,sucre,4.286918989627964,,,6.091404268660343e-06
2019-04-01,sucre,5.419368259175172,,,7.427045547876199e-06
2019-05-01,sucre,0.6277919059838766,,,1.2330866269449537e-05
2019-06-01,sucre,-1.4727293009965337,,,1.8836644379875363e-05
2019-07-01,sucre,3.552713678800501e-13,,,1.6965342776847746e-05
2019-08-01,sucre,2.7274650638871023,,,2.074906781124589e-05
2019-09-01,sucre,3.3653579824200364,,,2.1038653957546e-05
2019-10-01,sucre,4.938004322314171,,,9.516279979902093e-06
2019-11-01,sucre,4.118453869558891,,,8.807789710782653e-06
2019-12-01,sucre,-1.3550246694700618,,,1.0111186082736946e-05
2020-01-01,sucre,-8.304729127331179,-10.325867052565307,,1.4297292614429952e-05
2020-02-01,sucre,-12.655523460911411,-16.2913729295461,,1.0225349478555678e-05
2020-03-01,sucre,-14.93052438952791,-19.217443379155874,,7.356587732371205e-06
2020-04-01,sucre,-15.313518588092201,-20.732886847267373,,6.731392873356837e-06
2020-05-01,sucre,-11.456471005043944,-12.084262911027821,,6.393540265160004e-06
2020-06-01,sucre,-10.35494504526362,-8.882215744267086,-10.325867052565307,8.181206281099729e-06
2020-07-01,sucre,-9.2638960876684,-9.263896087668755,-16.2913729295461,1.0065133098961366e-05
2020-08-01,sucre,-12.629112529352682,-15.356577593239784,-19.217443379155874,1.5791964101401203e-05
2020-09-01,sucre,-11.650842129959393,-15.01620011237943,-20.732886847267373,2.009361507404836e-05
2020-10-01,sucre,-8.906753697295144,-13.844758019609316,-12.084262911027821,1.5117450275967033e-05
2020-11-01,sucre,-8.99882397645655,-13.11727784601544,-8.882215744267086,1.0052482706921224e-05
2020-12-01,sucre,-5.7149885849568705,-4.359963915486809,-9.263896087668755,1.1525571999460722e-05
2021-01-01,sucre,-4.320792873631696,3.9839362536994827,-15.356577593239784,9.54716468393264e-06
2021-02-01,sucre,-2.670355682512948,9.985167778398463,-15.01620011237943,1.1499025907704972e-05
2021-03-01,sucre,-3.1265898679023962,11.803934521625514,-13.844758019609316,1.0225522632594804e-05
2021-04-01,sucre,-3.850429771228825,11.463088816863376,-13.11727784601544,6.657430861386949e-06
2021-05-01,sucre,-9.6816793633959,1.7747916416480436,-4.359963915486809,9.4815555850618e-06
2021-06-01,sucre,-12.477000563786333,-2.122055518522714,3.9839362536994827,9.671110013025742e-06
2021-07-01,sucre,-13.299645385042602,-4.035749297374203,9.985167778398463,1.2269662422051328e-05
2021-08-01,sucre,-11.773661022559345,0.8554515067933366,11.803934521625514,1.4950625033559603e-05
2021-09-01,sucre,-14.180919594486774,-2.5300774645273805,11.463088816863376,1.842192107347328e-05
2021-10-01,sucre,-14.625292663845357,-5.718538966550213,1.7747916416480436,7.508981015857574e-06
2021-11-01,sucre,-14.126067135855358,-5.127243159398809,-2.122055518522714,7.187770897244006e-06
2021-12-01,sucre,-14.210265411168344,-8.495276826211473,-4.035749297374203,1.0442153553888867e-05
2022-01-01,sucre,-12.635111817279565,-8.31431894364787,0.8554515067933366,1.1465727200602184e-05
2022-02-01,sucre,-13.232547095710956,-10.562191413198008,-2.5300774645273805,8.61402164563632e-06
2022-03-01,sucre,-12.229109181866171,-9.102519313963775,-5.718538966550213,9.694532293624568e-06
2022-04-01,sucre,-13.350918897367592,-9.500489126138767,-5.127243159398809,7.0684464465215335e-06
2022-05-01,sucre,-9.038137477520891,0.6435418858750097,-8.495276826211473,9.386238253933616e-06
2022-06-01,sucre,-5.814617876578154,6.662382687208179,-8.31431894364787,1.168331228796214e-05
2022-07-01,sucre,-10.904886703046834,2.394758681995768,-10.562191413198008,1.1420814369129971e-05
2022-08-01,sucre,-14.747812049428788,-2.9741510268694427,-9.102519313963775,1.6863738349144097e-05
2022-09-01,sucre,-16.546357029884895,-2.365437435398121,-9.500489126138767,1.610168866208663e-05
2022-10-01,sucre,-19.236592489752624,-4.611299825907267,0.6435418858750097,1.2599202815074274e-05
2022-11-01,sucre,-18.244997714314337,-4.118930578458979,6.662382687208179,1.0582518563464812e-05
2022-12-01,sucre,-15.951615427360366,-1.7413500161920226,2.394758681995768,5.669033139775965e-06
